pair,key,layer_idx,rel_depth,sub_module,shape,fro_delta,sigma_1_delta,stable_rank_delta,effective_rank_top64_delta,top_align_with_W_LLM
qwen3,model.layers.15.self_attn.v_proj.weight,15,0.42857142857142855,self_attn.v_proj,,9.121244430541992,0.6768409013748169,181.60800926475756,60.180719557976204,0.011539816856384277
qwen3,model.layers.16.mlp.down_proj.weight,16,0.45714285714285713,mlp.down_proj,,36.008060455322266,1.194044828414917,909.4067936679577,62.14790312190267,0.09311104565858841
qwen3,model.layers.16.mlp.gate_proj.weight,16,0.45714285714285713,mlp.gate_proj,,41.81096267700195,2.818054437637329,220.1311880736458,55.69374803149322,0.06252673268318176
qwen3,model.layers.16.mlp.up_proj.weight,16,0.45714285714285713,mlp.up_proj,,36.48847961425781,2.458179473876953,220.33544125818892,55.612066008894175,0.026498524472117424
qwen3,model.layers.16.self_attn.k_proj.weight,16,0.45714285714285713,self_attn.k_proj,,11.264756202697754,1.670652151107788,45.4644064310924,52.259494147226626,0.0040951985865831375
qwen3,model.layers.16.self_attn.o_proj.weight,16,0.45714285714285713,self_attn.o_proj,,18.220500946044922,1.2589308023452759,209.4676242392041,58.30026239310556,0.019277583807706833
qwen3,model.layers.16.self_attn.q_proj.weight,16,0.45714285714285713,self_attn.q_proj,,24.206748962402344,3.6098318099975586,44.96752630463876,47.04917954963755,0.08499419689178467
qwen3,model.layers.16.self_attn.v_proj.weight,16,0.45714285714285713,self_attn.v_proj,,8.841232299804688,0.7155594825744629,152.6631153169483,59.72118831464703,0.010157538577914238
qwen3,model.layers.17.mlp.down_proj.weight,17,0.4857142857142857,mlp.down_proj,,36.7965087890625,1.2891504764556885,814.7155464160002,62.25099781428999,0.07060793042182922
qwen3,model.layers.17.mlp.gate_proj.weight,17,0.4857142857142857,mlp.gate_proj,,41.996891021728516,2.7513022422790527,233.00094282662536,56.131228643496115,0.05363360047340393
qwen3,model.layers.17.mlp.up_proj.weight,17,0.4857142857142857,mlp.up_proj,,37.661624908447266,2.5078799724578857,225.51976633452196,55.46714920724767,0.003652808256447315
qwen3,model.layers.17.self_attn.k_proj.weight,17,0.4857142857142857,self_attn.k_proj,,11.746747016906738,1.2454711198806763,88.954497016291,55.72389821264374,0.053557753562927246
qwen3,model.layers.17.self_attn.o_proj.weight,17,0.4857142857142857,self_attn.o_proj,,17.641416549682617,1.073787808418274,269.9168343773284,59.893753180915404,0.029120154678821564
qwen3,model.layers.17.self_attn.q_proj.weight,17,0.4857142857142857,self_attn.q_proj,,25.108699798583984,2.7980079650878906,80.52867541393309,52.41879614611189,0.07639553397893906
qwen3,model.layers.17.self_attn.v_proj.weight,17,0.4857142857142857,self_attn.v_proj,,9.027347564697266,0.6298837661743164,205.39955402505095,60.50889358767851,0.03099319525063038
qwen3,model.layers.18.mlp.down_proj.weight,18,0.5142857142857142,mlp.down_proj,,37.39604949951172,1.2035719156265259,965.4001487006357,62.45677730195341,0.11304114758968353
qwen3,model.layers.18.mlp.gate_proj.weight,18,0.5142857142857142,mlp.gate_proj,,42.05970764160156,2.760525703430176,232.1394272867451,55.938954491080985,0.05134667083621025
qwen3,model.layers.18.mlp.up_proj.weight,18,0.5142857142857142,mlp.up_proj,,38.103397369384766,2.4854001998901367,235.03619187944668,55.70596552169636,0.013551113195717335
qwen3,model.layers.18.self_attn.k_proj.weight,18,0.5142857142857142,self_attn.k_proj,,11.265176773071289,1.669528603553772,45.52901911822786,51.804343797184636,0.012338262982666492
qwen3,model.layers.18.self_attn.o_proj.weight,18,0.5142857142857142,self_attn.o_proj,,16.696956634521484,0.8909106254577637,351.241935187739,60.468051686852846,0.01790156587958336
qwen3,model.layers.18.self_attn.q_proj.weight,18,0.5142857142857142,self_attn.q_proj,,24.345882415771484,3.554597854614258,46.91050318745402,47.17205807193762,0.04634954407811165
qwen3,model.layers.18.self_attn.v_proj.weight,18,0.5142857142857142,self_attn.v_proj,,8.796497344970703,0.6466794013977051,185.02972213174365,60.56085108218227,0.017211144790053368
qwen3,model.layers.19.mlp.down_proj.weight,19,0.5428571428571428,mlp.down_proj,,37.41360855102539,1.1444319486618042,1068.7576820276079,62.503373272689096,0.048134416341781616
qwen3,model.layers.19.mlp.gate_proj.weight,19,0.5428571428571428,mlp.gate_proj,,42.23666000366211,2.6756246089935303,249.18894531028567,56.512237449488524,0.048261042684316635
qwen3,model.layers.19.mlp.up_proj.weight,19,0.5428571428571428,mlp.up_proj,,38.432308197021484,2.4419636726379395,247.69345951380632,56.05026805228871,0.020094363018870354
qwen3,model.layers.19.self_attn.k_proj.weight,19,0.5428571428571428,self_attn.k_proj,,11.768728256225586,1.5244919061660767,59.59486276589806,55.60548995864894,0.047956448048353195
qwen3,model.layers.19.self_attn.o_proj.weight,19,0.5428571428571428,self_attn.o_proj,,17.822965621948242,1.1483581066131592,240.88250433706108,58.58761124459186,0.009433596394956112
qwen3,model.layers.19.self_attn.q_proj.weight,19,0.5428571428571428,self_attn.q_proj,,25.144454956054688,3.110321521759033,65.35425694188734,51.83256143301844,0.0720454752445221
qwen3,model.layers.19.self_attn.v_proj.weight,19,0.5428571428571428,self_attn.v_proj,,9.167835235595703,0.8997641205787659,103.81886030798861,55.888750320373966,0.005450977012515068
qwen3,model.layers.2.mlp.down_proj.weight,2,0.05714285714285714,mlp.down_proj,,22.494382858276367,3.685457944869995,37.253342538393774,32.112731979249695,0.33193936944007874
qwen3,model.layers.2.mlp.gate_proj.weight,2,0.05714285714285714,mlp.gate_proj,,25.2866153717041,4.234510898590088,35.65947093063718,44.12335402623565,0.08255257457494736
qwen3,model.layers.2.mlp.up_proj.weight,2,0.05714285714285714,mlp.up_proj,,22.77130699157715,3.3402459621429443,46.47495963231013,43.9995518694611,0.015060273930430412
qwen3,model.layers.2.self_attn.k_proj.weight,2,0.05714285714285714,self_attn.k_proj,,11.028520584106445,2.1409807205200195,26.53438359398009,47.91337913050685,0.09461388736963272
qwen3,model.layers.2.self_attn.o_proj.weight,2,0.05714285714285714,self_attn.o_proj,,20.159128189086914,1.6355632543563843,151.91784923105553,57.3787778421165,0.004460916854441166
qwen3,model.layers.2.self_attn.q_proj.weight,2,0.05714285714285714,self_attn.q_proj,,22.015993118286133,2.8177223205566406,61.04922809429889,52.41662160622562,0.17742937803268433
qwen3,model.layers.2.self_attn.v_proj.weight,2,0.05714285714285714,self_attn.v_proj,,10.0464448928833,1.0366134643554688,93.92714499784847,57.687436172259524,0.011042753234505653
