pair,key,layer_idx,rel_depth,sub_module,shape,numel,norm_llm,norm_delta,rel_diff
qwen25,model.layers.2.self_attn.q_proj.weight,2,0.07407407407407407,self_attn.q_proj,3584x3584,12845056,65.34935760498047,41.11509323120117,0.6291583381696114
qwen25,model.layers.2.self_attn.v_proj.bias,2,0.07407407407407407,self_attn.v_proj.bias,512,512,1.252776026725769,0.05982187017798424,0.047751448704149865
qwen25,model.layers.2.self_attn.v_proj.weight,2,0.07407407407407407,self_attn.v_proj,512x3584,1835008,14.764898300170898,8.836254119873047,0.5984635952264412
qwen25,model.layers.3.input_layernorm.weight,3,0.1111111111111111,input_layernorm,3584,3584,23.13264274597168,1.3318521976470947,0.05757458031374403
qwen25,model.layers.3.mlp.down_proj.weight,3,0.1111111111111111,mlp.down_proj,3584x18944,67895296,130.33242797851562,73.25345611572266,0.5620508821319432
qwen25,model.layers.3.mlp.gate_proj.weight,3,0.1111111111111111,mlp.gate_proj,18944x3584,67895296,152.46224975585938,86.23722839355469,0.5656300397747506
qwen25,model.layers.3.mlp.up_proj.weight,3,0.1111111111111111,mlp.up_proj,18944x3584,67895296,131.45130920410156,80.50801086425781,0.6124549945657429
qwen25,model.layers.3.post_attention_layernorm.weight,3,0.1111111111111111,post_attention_layernorm,3584,3584,66.63565063476562,2.8632924556732178,0.042969377929047495
qwen25,model.layers.3.self_attn.k_proj.bias,3,0.1111111111111111,self_attn.k_proj.bias,512,512,118.2458267211914,2.8414509296417236,0.024030031405180185
qwen25,model.layers.3.self_attn.k_proj.weight,3,0.1111111111111111,self_attn.k_proj,512x3584,1835008,32.4260139465332,15.995967864990234,0.4933066361892572
qwen25,model.layers.3.self_attn.o_proj.weight,3,0.1111111111111111,self_attn.o_proj,3584x3584,12845056,53.04636001586914,28.45000457763672,0.5363234078478849
qwen25,model.layers.3.self_attn.q_proj.bias,3,0.1111111111111111,self_attn.q_proj.bias,3584,3584,65.5036392211914,0.7133655548095703,0.010890472091187047
qwen25,model.layers.3.self_attn.q_proj.weight,3,0.1111111111111111,self_attn.q_proj,3584x3584,12845056,67.8528823852539,42.940738677978516,0.6328506198774334
qwen25,model.layers.3.self_attn.v_proj.bias,3,0.1111111111111111,self_attn.v_proj.bias,512,512,4.126330852508545,0.05790720880031586,0.014033583556469298
qwen25,model.layers.3.self_attn.v_proj.weight,3,0.1111111111111111,self_attn.v_proj,512x3584,1835008,17.251144409179688,8.547368049621582,0.4954667265479125
qwen25,model.layers.4.input_layernorm.weight,4,0.14814814814814814,input_layernorm,3584,3584,31.54090118408203,1.7797534465789795,0.05642684196598606
qwen25,model.layers.4.mlp.down_proj.weight,4,0.14814814814814814,mlp.down_proj,3584x18944,67895296,127.9095687866211,73.50273132324219,0.5746460723814927
qwen25,model.layers.4.mlp.gate_proj.weight,4,0.14814814814814814,mlp.gate_proj,18944x3584,67895296,155.566162109375,86.85384368896484,0.558308069770982
qwen25,model.layers.4.mlp.up_proj.weight,4,0.14814814814814814,mlp.up_proj,18944x3584,67895296,128.7771453857422,78.61991882324219,0.6105114272236908
qwen25,model.layers.4.post_attention_layernorm.weight,4,0.14814814814814814,post_attention_layernorm,3584,3584,64.45880126953125,2.7447030544281006,0.042580733745749666
qwen25,model.layers.4.self_attn.k_proj.bias,4,0.14814814814814814,self_attn.k_proj.bias,512,512,11.382330894470215,0.9410442113876343,0.08267587896647902
qwen25,model.layers.4.self_attn.k_proj.weight,4,0.14814814814814814,self_attn.k_proj,512x3584,1835008,29.07743263244629,16.0834903717041,0.5531262190513068
qwen25,model.layers.4.self_attn.o_proj.weight,4,0.14814814814814814,self_attn.o_proj,3584x3584,12845056,53.256046295166016,33.84198760986328,0.6354581303744863
qwen25,model.layers.4.self_attn.q_proj.bias,4,0.14814814814814814,self_attn.q_proj.bias,3584,3584,112.0026626586914,0.6018550992012024,0.005373578492818969
qwen25,model.layers.4.self_attn.q_proj.weight,4,0.14814814814814814,self_attn.q_proj,3584x3584,12845056,64.61992645263672,43.57186508178711,0.674279088103314
qwen25,model.layers.4.self_attn.v_proj.bias,4,0.14814814814814814,self_attn.v_proj.bias,512,512,1.494275450706482,0.052050672471523285,0.03483338526836811
qwen25,model.layers.4.self_attn.v_proj.weight,4,0.14814814814814814,self_attn.v_proj,512x3584,1835008,20.84697723388672,11.232973098754883,0.5388298251938275
qwen25,model.layers.5.input_layernorm.weight,5,0.18518518518518517,input_layernorm,3584,3584,37.02198028564453,1.2979296445846558,0.03505835275613106
qwen25,model.layers.5.mlp.down_proj.weight,5,0.18518518518518517,mlp.down_proj,3584x18944,67895296,131.13182067871094,76.15788269042969,0.5807734712768601
qwen25,model.layers.5.mlp.gate_proj.weight,5,0.18518518518518517,mlp.gate_proj,18944x3584,67895296,148.27220153808594,87.18087768554688,0.5879785744137155
qwen25,model.layers.5.mlp.up_proj.weight,5,0.18518518518518517,mlp.up_proj,18944x3584,67895296,133.0219268798828,81.86536407470703,0.6154275914874581
qwen25,model.layers.5.post_attention_layernorm.weight,5,0.18518518518518517,post_attention_layernorm,3584,3584,75.82816314697266,3.069631576538086,0.040481418105676965
qwen25,model.layers.5.self_attn.k_proj.bias,5,0.18518518518518517,self_attn.k_proj.bias,512,512,15.040130615234375,0.7896540760993958,0.05250313952057991
qwen25,model.layers.5.self_attn.k_proj.weight,5,0.18518518518518517,self_attn.k_proj,512x3584,1835008,26.628040313720703,14.74783992767334,0.5538462370463733
qwen25,model.layers.5.self_attn.o_proj.weight,5,0.18518518518518517,self_attn.o_proj,3584x3584,12845056,53.34295654296875,33.40947723388672,0.6263146889313261
qwen25,model.layers.5.self_attn.q_proj.bias,5,0.18518518518518517,self_attn.q_proj.bias,3584,3584,104.37271881103516,0.5064952969551086,0.004852755612049437
qwen25,model.layers.5.self_attn.q_proj.weight,5,0.18518518518518517,self_attn.q_proj,3584x3584,12845056,63.15556335449219,43.621273040771484,0.690695652510061
qwen25,model.layers.5.self_attn.v_proj.bias,5,0.18518518518518517,self_attn.v_proj.bias,512,512,1.7651327848434448,0.03776704892516136,0.021396151750991944
qwen25,model.layers.5.self_attn.v_proj.weight,5,0.18518518518518517,self_attn.v_proj,512x3584,1835008,19.8283634185791,10.868807792663574,0.5481444717963734
qwen25,model.layers.6.input_layernorm.weight,6,0.2222222222222222,input_layernorm,3584,3584,32.82505798339844,1.267249345779419,0.03860615711388359
qwen25,model.layers.6.post_attention_layernorm.weight,6,0.2222222222222222,post_attention_layernorm,3584,3584,42.66761779785156,1.1684132814407349,0.02738407583419311
qwen25,model.layers.6.self_attn.k_proj.bias,6,0.2222222222222222,self_attn.k_proj.bias,512,512,26.674694061279297,1.212600827217102,0.0454588466668602
qwen25,model.layers.6.self_attn.k_proj.weight,6,0.2222222222222222,self_attn.k_proj,512x3584,1835008,28.531784057617188,14.851892471313477,0.5205385138665536
qwen25,model.layers.6.self_attn.o_proj.weight,6,0.2222222222222222,self_attn.o_proj,3584x3584,12845056,54.89359664916992,31.048444747924805,0.5656114126818526
qwen25,model.layers.6.self_attn.q_proj.bias,6,0.2222222222222222,self_attn.q_proj.bias,3584,3584,109.74529266357422,0.584492564201355,0.005325901002361216
qwen25,model.layers.6.self_attn.q_proj.weight,6,0.2222222222222222,self_attn.q_proj,3584x3584,12845056,64.19810485839844,42.936790466308594,0.6688171023274618
qwen25,model.layers.6.self_attn.v_proj.bias,6,0.2222222222222222,self_attn.v_proj.bias,512,512,1.7207125425338745,0.04889548569917679,0.028415836167018708
qwen25,model.layers.6.self_attn.v_proj.weight,6,0.2222222222222222,self_attn.v_proj,512x3584,1835008,20.671754837036133,9.872626304626465,0.47759014086885226
qwen25,model.layers.10.input_layernorm.weight,10,0.37037037037037035,input_layernorm,3584,3584,42.24624252319336,1.0886939764022827,0.025770196622920613
qwen25,model.layers.10.mlp.down_proj.weight,10,0.37037037037037035,mlp.down_proj,3584x18944,67895296,131.48724365234375,71.73564910888672,0.5455711680941304
qwen25,model.layers.10.mlp.gate_proj.weight,10,0.37037037037037035,mlp.gate_proj,18944x3584,67895296,140.71839904785156,83.93233489990234,0.5964560104991032
qwen25,model.layers.10.mlp.up_proj.weight,10,0.37037037037037035,mlp.up_proj,18944x3584,67895296,132.2545928955078,75.67999267578125,0.5722295991306311
